position,vedic_name,identified_river,merit_lon,merit_lat,osm_lon,osm_lat,distance_km,n_pixels,threshold_km2
1,Gaṅgā,Ganges,83.5305,26.111,81.8787,26.8731,184.94,32279,10000
2,Yamunā,Yamuna,78.8798,27.1628,78.0871,29.1002,229.02,23509,5000
3,Sarasvatī,Ghaggar-Hakra,75.1539,29.6687,75.7603,29.8671,62.54,11527,1000
4,Śutudrī,Sutlej,76.666,31.2508,77.0855,31.3032,40.29,9911,2000
5,Paruṣṇī,Ravi,74.0518,31.4806,74.2176,31.4844,15.73,14207,1000
6,Asiknī,Chenab,73.1529,31.4168,73.6779,31.9697,79.03,16107,3000
8,Vitastā,Jhelum,73.4011,33.1336,73.5083,33.269,18.06,11620,2000
9,Ārjīkīyā,Haro,72.6629,33.8707,72.844,33.859,16.77,3499,500
10,Suṣomā,Soan (Sawan),72.5039,33.2586,72.7471,33.3723,25.9,5966,500
